200bin,adj sales (bin),Adjusted sales (bin),Adjusted sales (bin) 50,Adjusted sales 1,Adjusted Sales 1 (bin),Area Code,Area Code (Location),Date,Market,Market Size,Product,Product Id,Product Type,ProductId (Product),Sales (bin),Sales (bin) 100,Sales (bin) 50,Sales (bin) 70,Sales100bin,SalesTab (bin),State,Type,adj sales,Adjusted sales,Adjusted Sales 1,Budget COGS,Budget Margin,Budget Profit,Budget Sales,Cogs,Inventory,Margin,Marketing,Number of Records,Profit,Sales,Total Expenses
0,150,143,150,150,150,608,608,01-01-2010 00:00:00,Central,Small Market,Darjeeling,11,Tea,11,137.2,100,150,140,100,80,Wisconsin,Regular,150,150,150,50,80,50,130,61,390,89,19,1,47,150,42
0,100,120,100,100,100,475,475,01-01-2010 00:00:00,East,Small Market,Darjeeling,11,Tea,11,102.9,100,100,77-139,100,80,Connecticut,Regular,123,123,123,50,80,60,130,50,821,73,14,1,47,123,26
0,50,72,50,50,75,475,475,01-01-2010 00:00:00,East,Small Market,Green Tea,13,Tea,13,68.6,0,50-99,77-139,0,80,Connecticut,Regular,94,94,94,40,60,40,100,38,777,56,10,1,35,94,21
0,100,120,100,100,125,475,475,01-01-2010 00:00:00,East,Small Market,Decaf Espresso,6,Espresso,6,102.9,100,100,77-139,100,80,Connecticut,Decaf,130,130,130,50,70,40,120,55,312,75,18,1,30,130,45
0,150,167,150,150,175,860,860,01-01-2010 00:00:00,East,Small Market,Caffe Mocha,5,Espresso,5,171.5,100,150,140,100,160,Connecticut,Regular,180,180,180,70,100,20,170,75,522,105,68,1,7,180,98
200,300,287,300,300,300,475,475,01-01-2010 00:00:00,East,Small Market,Columbian,2,Coffee,2,308.7,300,300,280,300,240,Connecticut,Regular,310,310,310,110,180,130,290,124,961,186,40,1,115,310,71
0,150,167,150,150,175,860,860,01-01-2010 00:00:00,East,Small Market,Lemon,9,Herbal Tea,9,171.5,100,150,140,100,160,Connecticut,Decaf,190,190,190,60,80,40,140,85,494,105,32,1,40,190,65
0,150,167,150,150,150,475,475,01-01-2010 00:00:00,East,Small Market,Mint,10,Herbal Tea,10,137.2,100,150,140,100,160,Connecticut,Decaf,170,170,170,50,80,50,130,78,965,92,24,1,47,170,45
0,50,72,50,50,75,954,954,01-01-2010 00:00:00,East,Major Market,Darjeeling,11,Tea,11,68.6,0,50-99,77-139,0,80,Florida,Regular,80,80,80,30,50,40,80,32,821,48,8,1,28,80,20
0,50,72,50,50,75,754,754,01-01-2010 00:00:00,East,Major Market,Green Tea,13,Tea,13,68.6,0,50-99,77-139,0,80,Florida,Regular,81,81,81,30,50,40,80,33,777,48,9,1,28,81,20
0,150,167,150,150,175,754,754,01-01-2010 00:00:00,East,Major Market,Decaf Espresso,6,Espresso,6,171.5,100,150,140,100,160,Florida,Decaf,180,180,180,70,100,60,170,77,432,103,25,1,50,180,53
0,150,167,150,150,175,239,239,01-01-2010 00:00:00,East,Major Market,Caffe Mocha,5,Espresso,5,171.5,100,150,140,100,160,Florida,Regular,190,190,190,70,110,30,180,79,551,111,72,1,9,190,102
200,200,191,200,200,200,754,754,01-01-2010 00:00:00,East,Major Market,Decaf Irish Cream,3,Coffee,3,171.5,200,200,140,200,160,Florida,Decaf,200,200,200,80,110,70,190,84,500,116,26,1,67,200,49
200,200,191,200,200,200,954,954,01-01-2010 00:00:00,East,Major Market,Columbian,2,Coffee,2,205.8,200,200,210,200,160,Florida,Regular,210,210,210,80,110,70,190,84,651,126,27,1,68,210,58
0,100,96,100,100,100,863,863,01-01-2010 00:00:00,East,Major Market,Chamomile,8,Herbal Tea,8,102.9,100,100,77-139,100,80,Florida,Decaf,110,110,110,30,50,30,80,48,623,62,15,1,34,110,28
0,100,120,100,100,100,239,239,01-01-2010 00:00:00,East,Major Market,Lemon,9,Herbal Tea,9,102.9,100,100,77-139,100,80,Florida,Decaf,120,120,120,40,50,20,90,54,312,66,20,1,13,120,53
0,150,143,150,150,150,772,772,01-01-2010 00:00:00,East,Major Market,Mint,10,Herbal Tea,10,137.2,100,150,140,100,80,Florida,Decaf,150,150,150,50,60,40,110,69,965,81,21,1,39,150,42
0,50,72,50,50,75,508,508,01-01-2010 00:00:00,East,Major Market,Darjeeling,11,Tea,11,68.6,0,50-99,77-139,0,80,Massachusetts,Regular,80,80,80,30,50,40,80,32,821,48,8,1,29,80,19
0,50,72,50,50,75,781,781,01-01-2010 00:00:00,East,Major Market,Green Tea,13,Tea,13,68.6,0,50-99,77-139,0,80,Massachusetts,Regular,80,80,80,30,50,40,80,32,456,48,8,1,29,80,19
200,300,335,300,300,325,978,978,01-01-2010 00:00:00,East,Major Market,Regular Espresso,7,Espresso,7,308.7,300,300,280,300,320,Massachusetts,Regular,341,341,341,160,170,110,330,170,1091,171,47,1,100,341,71
0,100,120,100,100,125,781,781,01-01-2010 00:00:00,East,Major Market,Caffe Mocha,5,Espresso,5,102.9,100,100,77-139,100,80,Massachusetts,Regular,126,126,126,60,60,-10,120,63,435,63,57,1,-23,126,86
400,400,382,400,400,400,413,413,01-01-2010 00:00:00,East,Major Market,Columbian,2,Coffee,2,480.2,400,450,490,400,480,Massachusetts,Regular,400,400,400,60,400,360,460,72,558,422,23,1,367,494,55
0,100,120,100,100,125,339,339,01-01-2010 00:00:00,East,Major Market,Lemon,9,Herbal Tea,9,102.9,100,100,77-139,100,80,Massachusetts,Decaf,130,130,130,40,60,30,100,58,338,72,22,1,17,130,55
0,0,24,0,0,25,603,603,01-01-2010 00:00:00,East,Small Market,Darjeeling,11,Tea,11,34.3,0,0-49,0-69,0,0,New Hampshire,Regular,45,45,45,10,30,20,40,18,821,27,5,1,10,45,17
0,0,24,0,0,25,603,603,01-01-2010 00:00:00,East,Small Market,Green Tea,13,Tea,13,34.3,0,0-49,0-69,0,0,New Hampshire,Regular,43,43,43,10,30,20,40,17,777,26,4,1,11,43,15
0,50,48,50,50,50,603,603,01-01-2010 00:00:00,East,Small Market,Regular Espresso,7,Espresso,7,34.3,0,50-99,0-69,0,0,New Hampshire,Regular,65,65,65,20,40,0,60,29,169,36,11,1,-8,65,44
0,50,72,50,50,75,603,603,01-01-2010 00:00:00,East,Small Market,Caffe Mocha,5,Espresso,5,68.6,0,50-99,77-139,0,80,New Hampshire,Regular,90,90,90,30,50,0,80,37,261,53,34,1,-10,90,63
0,50,72,50,50,75,603,603,01-01-2010 00:00:00,East,Small Market,Amaretto,1,Coffee,1,68.6,0,50-99,77-139,0,80,New Hampshire,Regular,93,93,93,30,50,30,80,38,241,55,12,1,20,93,35
0,100,120,100,100,100,603,603,01-01-2010 00:00:00,East,Small Market,Columbian,2,Coffee,2,102.9,100,100,77-139,100,80,New Hampshire,Regular,120,120,120,40,70,40,110,48,372,72,15,1,25,120,47
0,50,72,50,50,75,603,603,01-01-2010 00:00:00,East,Small Market,Lemon,9,Herbal Tea,9,68.6,0,50-99,77-139,0,0,New Hampshire,Decaf,76,76,76,20,30,0,50,34,197,42,12,1,-4,76,46
200,200,215,200,200,225,347,347,01-01-2010 00:00:00,East,Major Market,Darjeeling,11,Tea,11,205.8,200,200,210,200,160,New York,Regular,234,234,234,100,150,120,250,95,821,139,26,1,101,234,38
200,200,215,200,200,200,646,646,01-01-2010 00:00:00,East,Major Market,Earl Grey,12,Tea,12,205.8,200,200,210,200,160,New York,Regular,219,219,219,90,140,110,230,89,777,130,24,1,94,219,36
0,100,120,100,100,125,347,347,01-01-2010 00:00:00,East,Major Market,Green Tea,13,Tea,13,102.9,100,100,77-139,100,80,New York,Regular,134,134,134,50,90,70,140,54,456,80,15,1,54,134,26
400,400,382,400,400,400,631,631,01-01-2010 00:00:00,East,Major Market,Regular Espresso,7,Espresso,7,480.2,400,450,490,400,480,New York,Regular,400,400,400,210,270,200,480,228,1459,262,63,1,175,490,87
0,50,48,50,50,50,315,315,01-01-2010 00:00:00,East,Major Market,Caffe Mocha,5,Espresso,5,34.3,0,50-99,0-69,0,0,New York,Regular,61,61,61,100,-50,-170,50,105,725,-44,95,1,-172,61,128
600,450,598,600,600,600,716,716,01-01-2010 00:00:00,East,Major Market,Columbian,2,Coffee,2,651.7,600,650,630,600,640,New York,Regular,450,600,600,260,380,260,640,271,2101,407,94,1,262,678,145
400,400,382,400,400,400,607,607,01-01-2010 00:00:00,East,Major Market,Lemon,9,Herbal Tea,9,480.2,400,450,420,400,480,New York,Decaf,400,400,400,180,190,100,370,245,1419,238,93,1,111,483,127
0,150,167,150,150,175,845,845,01-01-2010 00:00:00,East,Major Market,Mint,10,Herbal Tea,10,171.5,100,150,140,100,160,New York,Decaf,180,180,180,150,-10,-70,140,207,965,-27,64,1,-113,180,86
0,150,167,150,150,175,337,337,01-01-2010 00:00:00,South,Small Market,Caffe Mocha,5,Espresso,5,171.5,100,150,140,100,160,Louisiana,Regular,180,180,180,50,100,80,150,67,400,113,20,1,70,180,43
0,150,143,150,150,150,337,337,01-01-2010 00:00:00,South,Small Market,Decaf Espresso,6,Espresso,6,137.2,100,150,140,100,80,Louisiana,Decaf,150,150,150,50,70,50,120,61,390,89,19,1,48,150,41
0,100,96,100,100,100,337,337,01-01-2010 00:00:00,South,Small Market,Chamomile,8,Herbal Tea,8,102.9,100,100,77-139,100,80,Louisiana,Decaf,112,112,112,40,60,40,100,49,623,63,16,1,35,112,28
0,150,167,150,150,175,504,504,01-01-2010 00:00:00,South,Small Market,Lemon,9,Herbal Tea,9,171.5,100,150,140,100,160,Louisiana,Decaf,190,190,190,80,100,40,180,85,494,105,32,1,40,190,65
0,150,167,150,150,175,504,504,01-01-2010 00:00:00,South,Small Market,Caffe Latte,4,Espresso,4,171.5,100,150,140,100,160,Louisiana,Regular,180,180,180,60,90,10,150,75,522,105,68,1,8,180,97
0,50,72,50,50,75,225,225,01-01-2010 00:00:00,South,Small Market,Columbian,2,Coffee,2,68.6,0,50-99,77-139,0,80,Louisiana,Regular,85,85,85,40,60,50,100,34,777,51,9,1,30,85,21
0,50,72,50,50,75,985,985,01-01-2010 00:00:00,South,Small Market,Decaf Irish Cream,3,Coffee,3,68.6,0,50-99,77-139,0,80,Louisiana,Decaf,81,81,81,40,60,50,100,33,777,48,9,1,28,81,20
0,50,72,50,50,75,505,505,01-01-2010 00:00:00,South,Small Market,Caffe Mocha,5,Espresso,5,68.6,0,50-99,77-139,0,80,New Mexico,Regular,90,90,90,30,40,-10,70,37,261,53,34,1,-10,90,63
0,50,72,50,50,75,505,505,01-01-2010 00:00:00,South,Small Market,Decaf Espresso,6,Espresso,6,68.6,0,50-99,77-139,0,80,New Mexico,Decaf,82,82,82,30,40,10,70,35,196,47,11,1,9,82,38
0,0,24,0,0,25,505,505,01-01-2010 00:00:00,South,Small Market,Chamomile,8,Herbal Tea,8,34.3,0,0-49,0-69,0,0,New Mexico,Decaf,45,45,45,10,30,20,40,18,821,27,5,1,11,45,16
0,50,48,50,50,50,505,505,01-01-2010 00:00:00,South,Small Market,Lemon,9,Herbal Tea,9,34.3,0,50-99,0-69,0,0,New Mexico,Decaf,62,62,62,20,40,20,60,28,965,34,8,1,4,62,30
0,50,48,50,50,50,505,505,01-01-2010 00:00:00,South,Small Market,Caffe Latte,4,Espresso,4,34.3,0,50-99,0-69,0,0,New Mexico,Regular,65,65,65,20,30,0,50,29,169,36,11,1,-8,65,44
0,100,120,100,100,100,505,505,01-01-2010 00:00:00,South,Small Market,Columbian,2,Coffee,2,102.9,100,100,77-139,100,80,New Mexico,Regular,120,120,120,60,90,50,150,48,372,72,15,1,26,120,46
0,50,96,50,50,75,505,505,01-01-2010 00:00:00,South,Small Market,Decaf Irish Cream,3,Coffee,3,68.6,0,50-99,77-139,0,80,New Mexico,Decaf,99,99,99,110,10,-30,120,88,525,11,27,1,-39,99,50
0,50,72,50,50,75,405,405,01-01-2010 00:00:00,South,Small Market,Caffe Mocha,5,Espresso,5,68.6,0,50-99,77-139,0,80,Oklahoma,Regular,80,80,80,20,40,40,60,32,456,48,8,1,28,80,20
200,200,191,200,200,200,405,405,01-01-2010 00:00:00,South,Small Market,Decaf Espresso,6,Espresso,6,205.8,200,200,210,200,160,Oklahoma,Decaf,210,210,210,70,110,70,180,84,651,126,27,1,67,210,59
0,100,120,100,100,100,918,918,01-01-2010 00:00:00,South,Small Market,Chamomile,8,Herbal Tea,8,102.9,100,100,77-139,100,80,Oklahoma,Decaf,120,120,120,50,60,20,110,54,312,66,20,1,13,120,53
0,150,167,150,150,175,580,580,01-01-2010 00:00:00,South,Small Market,Lemon,9,Herbal Tea,9,171.5,100,150,140,100,160,Oklahoma,Decaf,190,190,190,70,110,30,180,79,551,111,72,1,10,190,101
200,200,191,200,200,200,405,405,01-01-2010 00:00:00,South,Small Market,Caffe Latte,4,Espresso,4,171.5,200,200,140,200,160,Oklahoma,Regular,200,200,200,70,100,70,170,84,500,116,26,1,66,200,50
0,100,96,100,100,100,580,580,01-01-2010 00:00:00,South,Small Market,Columbian,2,Coffee,2,68.6,100,100,77-139,100,80,Oklahoma,Regular,100,100,100,50,70,50,120,44,623,56,14,1,29,100,27
0,50,72,50,50,75,580,580,01-01-2010 00:00:00,South,Small Market,Decaf Irish Cream,3,Coffee,3,68.6,0,50-99,77-139,0,80,Oklahoma,Decaf,80,80,80,40,60,50,100,32,821,48,8,1,28,80,20
200,200,215,200,200,200,325,325,01-01-2010 00:00:00,South,Major Market,Caffe Mocha,5,Espresso,5,205.8,200,200,210,200,160,Texas,Regular,219,219,219,70,110,90,180,89,777,130,24,1,95,219,35
0,100,120,100,100,125,956,956,01-01-2010 00:00:00,South,Major Market,Decaf Espresso,6,Espresso,6,102.9,100,100,77-139,100,80,Texas,Decaf,134,134,134,40,70,60,110,54,456,80,15,1,54,134,26
0,100,120,100,100,125,281,281,01-01-2010 00:00:00,South,Major Market,Chamomile,8,Herbal Tea,8,137.2,100,100,140,100,80,Texas,Decaf,140,140,140,50,80,50,130,60,336,80,19,1,33,140,47
0,100,120,100,100,125,254,254,01-01-2010 00:00:00,South,Major Market,Lemon,9,Herbal Tea,9,137.2,100,100,140,100,80,Texas,Decaf,140,140,140,50,80,50,130,57,364,83,18,1,42,140,41
0,150,167,150,150,175,830,830,01-01-2010 00:00:00,South,Major Market,Caffe Latte,4,Espresso,4,171.5,100,150,140,100,160,Texas,Regular,180,180,180,60,90,50,150,72,558,108,23,1,53,180,55
400,400,382,400,400,400,409,409,01-01-2010 00:00:00,South,Major Market,Columbian,2,Coffee,2,445.9,400,450,420,400,400,Texas,Regular,400,400,400,260,300,220,560,207,965,245,64,1,159,452,86
0,150,167,150,150,175,325,325,01-01-2010 00:00:00,South,Major Market,Decaf Irish Cream,3,Coffee,3,171.5,100,150,140,100,160,Texas,Decaf,190,190,190,100,130,100,230,83,623,107,27,1,68,190,39
0,100,96,100,100,100,435,435,01-01-2010 00:00:00,West,Small Market,Caffe Latte,4,Espresso,4,102.9,100,100,77-139,100,80,Utah,Regular,114,114,114,40,60,40,100,46,777,68,12,1,44,114,24
0,100,96,100,100,100,435,435,01-01-2010 00:00:00,West,Small Market,Caffe Mocha,5,Espresso,5,102.9,100,100,77-139,100,80,Utah,Regular,112,112,112,40,60,40,100,49,623,63,16,1,34,112,29
0,100,120,100,100,100,435,435,01-01-2010 00:00:00,West,Small Market,Decaf Espresso,6,Espresso,6,102.9,100,100,77-139,100,80,Utah,Decaf,123,123,123,40,70,50,110,50,821,73,14,1,47,123,26
